Date,Android,iOS,Sum,live_stream,fb_touch,fb_likes,fb_comments,EDM_successfully_send,EDM_open,,
2021/2/16,987,1648,2635,,12504,351,144,,,,
2021/2/17,1522,2700,4222,,12504,351,144,,,,
2021/2/18,1660,2825,4485,,12504,351,144,,,,
2021/2/19,1265,2131,3396,,12504,351,144,,,,
2021/2/20,658,1021,1679,,12504,351,144,,,,
2021/2/21,1040,1882,2922,,12504,351,144,,,,
2021/2/22,1871,3128,4999,,12504,351,144,,,,
2021/2/23,1621,2894,4515,,12504,351,144,,,,
2021/2/24,1807,3181,4988,10813,12504,351,144,,,,
2021/2/25,1747,2920,4667,,12504,351,144,,,,
2021/2/26,1307,2141,3448,,12504,351,144,,,,
2021/2/27,478,722,1200,,12504,351,144,,,,
2021/2/28,410,680,1090,,12504,351,144,,,,
2021/3/1,942,1633,2575,,12504,351,144,,,,
2021/3/2,1562,2749,4311,,12504,351,144,,,,
2021/3/3,1546,2660,4206,,12504,351,144,,,,
2021/3/4,1560,2577,4137,,12504,351,144,,,,
2021/3/5,1213,1992,3205,,12504,351,144,,,,
2021/3/6,478,738,1216,,12504,351,144,,,,
2021/3/7,900,1605,2505,,12504,351,144,,,,
2021/3/8,1557,2561,4118,,12504,351,144,,,,
2021/3/9,1566,2615,4181,,12504,351,144,,,,
2021/3/10,1556,2703,4259,,12504,351,144,,,,
2021/3/11,1564,2637,4201,,12504,351,144,,,,
2021/3/12,1143,1848,2991,,12504,351,144,,,,
2021/3/13,499,781,1280,,12504,351,144,,,,
2021/3/14,895,1664,2559,,12504,351,144,,,,
2021/3/15,1755,2948,4703,,12504,351,144,,,,
2021/3/16,1625,2830,4455,,12504,351,144,,,,
2021/3/17,1782,3116,4898,,12504,351,144,,,,
2021/3/18,1658,2921,4579,,12504,351,144,,,,
2021/3/19,1274,2093,3367,,12504,351,144,,,,
2021/3/20,529,873,1402,,12504,351,144,,,,
2021/3/21,967,1743,2710,,12504,351,144,,,,
2021/3/22,1692,2832,4524,,12504,351,144,,,,
2021/3/23,1741,3012,4753,,12504,351,144,,,,
2021/3/24,1611,2825,4436,,12504,351,144,,,,
2021/3/25,1545,2796,4341,,12504,351,144,,,,
2021/3/26,1202,2077,3279,,12504,351,144,,,,
2021/3/27,493,868,1361,,12504,351,144,,,,
2021/3/28,975,1684,2659,,12504,351,144,,,,
2021/3/29,1784,2967,4751,,12504,351,144,,,,
2021/3/30,1724,2958,4682,10902,12504,351,144,,,,
2021/3/31,1721,3069,4790,,12504,351,144,,,,
2021/4/1,1207,2106,3313,,12504,351,144,,,,
2021/4/2,496,790,1286,,12504,351,144,,,,
2021/4/3,404,637,1041,,12504,351,144,,,,
2021/4/4,391,574,965,,12504,351,144,,,,
2021/4/5,914,1668,2582,,12504,351,144,,,,
2021/4/6,1609,2888,4497,,12504,351,144,,,,
2021/4/7,1779,3155,4934,,29803,702,196,,,,
2021/4/8,1760,3108,4868,,29803,702,196,,,,
2021/4/9,1470,2721,4191,,16430,325,58,,,,
2021/4/10,706,1224,1930,,16430,325,58,,,,
2021/4/11,1090,2479,3569,,16430,325,58,,,,
2021/4/12,1829,3583,5412,,16430,325,58,,,,
2021/4/13,2002,3812,5814,,18593,557,105,,,,
2021/4/14,1843,3376,5219,,14005,217,49,,,,
2021/4/15,1721,3213,4934,,14005,217,49,,,,
2021/4/16,1458,2684,4142,,11243,213,26,,,,
2021/4/17,623,1157,1780,,11243,213,26,,,,
2021/4/18,1265,2384,3649,,8340,91,12,,,,
2021/4/19,1947,3570,5517,,22495,667,138,,,,
2021/4/20,1886,3538,5424,,22495,667,138,,,,
2021/4/21,2016,3883,5899,,13812,308,44,,,,
2021/4/22,2020,3800,5820,,13812,308,44,,,,
2021/4/23,1458,2683,4141,,13812,308,44,,,,
2021/4/24,664,1139,1803,,13812,308,44,,,,
2021/4/25,1315,2450,3765,,13812,308,44,93,44,,
2021/4/26,1944,3656,5600,,13428,226,217,92,74,,
2021/4/27,1824,3570,5394,,13428,226,217,92,34,,
2021/4/28,2067,3823,5890,10832,10204,175,43,92,34,,
2021/4/29,1513,2719,4232,,9589,113,18,92,34,,
2021/4/30,615,1108,1723,,9352,153,20,92,34,,
2021/5/1,517,931,1448,,9352,153,20,92,34,,
2021/5/2,1022,1962,2984,,9643,77,6,92,34,,
2021/5/3,1917,3557,5474,,22479,519,113,92,34,,
2021/5/4,1920,3442,5362,,22479,519,113,130,76,,
2021/5/5,1742,3220,4962,,14258,208,54,130,81,,
2021/5/6,1746,3139,4885,,14258,208,54,130,81,,
2021/5/7,1341,2422,3763,,32601,704,159,130,81,,
2021/5/8,595,938,1533,,32601,704,159,130,81,,
2021/5/9,1027,1786,2813,,32601,704,159,130,81,,
2021/5/10,1781,3215,4996,,22173,563,138,130,81,,
2021/5/11,1840,3269,5109,,22173,563,138,130,81,,
2021/5/12,1722,3109,4831,,15377,179,24,130,81,,
2021/5/13,1869,3152,5021,,15377,179,24,130,81,,
2021/5/14,1209,2023,3232,,15708,153,24,130,81,,
2021/5/15,402,769,1171,,12127,182,25,361,87,,
2021/5/16,794,1475,2269,,11734,66,3,361,87,,
2021/5/17,1513,2780,4293,,33733,561,100,361,87,,
2021/5/18,1602,2668,4270,,33733,561,100,361,87,,
2021/5/19,1488,2680,4168,,41297,839,118,361,87,,
2021/5/20,1566,2735,4301,,41297,839,118,120,149,,
2021/5/21,1099,1977,3076,,36748,2338,1875,120,149,,
2021/5/22,861,1175,2036,,36748,2338,1875,120,149,,
2021/5/23,862,1668,2530,,36748,2338,1875,120,149,,
2021/5/24,1600,2894,4494,,14780,304,95,120,149,,
2021/5/25,1668,2918,4586,10451,11053,209,25,120,149,,
2021/5/26,1506,2678,4184,,7917,158,37,120,149,,
2021/5/27,1520,2727,4247,,8436,170,28,120,149,,
2021/5/28,1146,2050,3196,,14327,263,48,120,149,,
2021/5/29,543,934,1477,,14327,263,48,357,94,,
2021/5/30,1062,1914,2976,,6247,69,8,357,94,,
2021/5/31,1697,2988,4685,,19224,258,88,357,94,,
2021/6/1,1621,2920,4541,,19224,258,88,357,94,,
2021/6/2,1700,3133,4833,,16451,370,80,357,94,,
2021/6/3,1581,2806,4387,,16451,370,80,357,94,,
2021/6/4,1191,2104,3295,,12696,234,114,83,76,,
2021/6/5,563,941,1504,,12696,234,114,83,76,,
2021/6/6,1015,1800,2815,,12696,234,114,83,76,,
2021/6/7,1427,2785,4212,,15130,245,77,83,76,,
2021/6/8,1509,2710,4219,,15130,245,77,83,76,,
2021/6/9,1560,2780,4340,,8456,138,22,83,76,,
2021/6/10,1479,2743,4222,,8456,138,22,83,76,,
2021/6/11,1045,1985,3030,,10017,183,43,83,76,,
2021/6/12,484,819,1303,,7632,206,32,83,76,,
2021/6/13,453,718,1171,,7632,206,32,83,76,,
2021/6/14,1107,1964,3071,,6240,36,1,83,76,,
2021/6/15,1551,2893,4444,,6240,36,1,83,76,,
2021/6/16,1518,2891,4409,,6240,36,1,83,76,,
2021/6/17,1502,2865,4367,,15930,564,120,48,106,,
2021/6/18,1290,2188,3478,,15930,564,120,48,106,,
2021/6/19,810,1178,1988,,15930,564,120,48,106,,
2021/6/20,1196,1931,3127,,15930,564,120,48,106,,
2021/6/21,1735,3061,4796,,39744,2891,2606,48,106,,
2021/6/22,1773,3192,4965,,7283,294,82,48,106,,
2021/6/23,1819,3285,5104,11590,7877,171,37,48,106,,
2021/6/24,1739,3088,4827,,6253,112,18,48,106,,
2021/6/25,1260,2232,3492,,7073,151,16,48,106,,
2021/6/26,862,1384,2246,,8876,115,35,283,78,,
2021/6/27,1093,1945,3038,,3732,40,3,283,78,,
2021/6/28,1558,3021,4579,,24170,881,273,283,78,,
2021/6/29,1644,3073,4717,,24170,881,273,283,78,,
2021/6/30,1574,2955,4529,,24170,881,273,283,78,,
2021/7/1,1613,2966,4579,,13981,499,131,92,74,,
2021/7/2,1190,2180,3370,,13981,499,131,92,74,,
2021/7/3,561,925,1486,,13981,499,131,92,74,,
2021/7/4,1012,1961,2973,,13981,499,131,92,74,,
2021/7/5,1618,3114,4732,,5694,141,56,92,74,,
2021/7/6,1733,3292,5025,,5694,141,56,92,74,,
2021/7/7,1688,3239,4927,,5573,97,12,92,74,,
2021/7/8,1648,3016,4664,,5573,97,12,8372,653,,
2021/7/9,1199,2130,3329,,7069,130,20,8372,653,,
2021/7/10,579,972,1551,,7069,130,20,8372,653,,
2021/7/11,1129,2069,3198,,2880,52,13,8372,653,,
2021/7/12,1653,3083,4736,,15383,582,264,8372,653,,
2021/7/13,1654,3136,4790,,15383,582,264,8372,653,,
2021/7/14,1663,3171,4834,,15383,582,264,55,42,,
2021/7/15,1640,3008,4648,,18893,670,172,55,42,,
2021/7/16,1181,2178,3359,,13286,452,110,55,42,,
2021/7/17,545,934,1479,,13286,452,110,55,42,,
2021/7/18,1194,2129,3323,,13286,452,110,55,42,,
2021/7/19,1537,2839,4376,,7678,234,55,55,42,,
2021/7/20,1555,2852,4407,,7678,234,55,55,42,,
2021/7/21,1672,2998,4670,,7678,234,55,55,42,,
2021/7/22,1564,3036,4600,,21852,703,132,55,42,,
2021/7/23,1150,2073,3223,,5809,88,14,55,42,,
2021/7/24,550,926,1476,,5809,88,14,55,42,,
2021/7/25,973,1881,2854,,3989,53,8,55,42,,
2021/7/26,1551,2899,4450,,37048,2778,2640,55,42,,
2021/7/27,1458,2704,4162,,4142,238,80,55,42,,
2021/7/28,1637,2948,4585,6724,5940,141,20,55,42,,
2021/7/29,1549,2842,4391,,5663,123,25,55,42,,
2021/7/30,1075,1974,3049,,3178,95,16,55,42,,
2021/7/31,417,761,1178,,3178,95,16,162,31,,
2021/8/1,1041,1817,2858,,3913,43,2,162,31,,
2021/8/2,1467,2638,4105,,13293,438,134,162,31,,
2021/8/3,1413,2601,4014,,13293,438,134,162,31,,
2021/8/4,1477,2724,4201,,12135,379,142,104,67,,
2021/8/5,1429,2686,4115,,12135,379,142,104,67,,
2021/8/6,1020,1807,2827,,6280,126,31,104,67,,
2021/8/7,422,694,1116,,6280,126,31,104,67,,
2021/8/8,1064,1817,2881,,3284,36,5,104,67,,
2021/8/9,1415,2543,3958,,9044,274,70,104,67,,
2021/8/10,1387,2438,3825,,9044,274,70,104,67,,
2021/8/11,1447,2575,4022,,5696,57,1,104,67,,
2021/8/12,1270,2337,3607,,5696,57,1,104,67,,
2021/8/13,915,1632,2547,,5920,130,22,104,67,,
2021/8/14,345,580,925,,5920,130,22,91,55,,
2021/8/15,884,1530,2414,,3225,37,5,91,55,,
2021/8/16,1266,2303,3569,,10364,303,119,91,55,,
2021/8/17,1252,2340,3592,,4496,80,9,8843,2098,,
2021/8/18,1383,2411,3794,,3178,95,14,8843,2098,,
2021/8/19,1299,2288,3587,,3178,95,14,8843,2098,,
2021/8/20,887,1490,2377,,5655,111,21,8843,2098,,
2021/8/21,363,544,907,,5655,111,21,8843,2098,,
2021/8/22,912,1577,2489,,3329,36,3,8843,2098,,
2021/8/23,1355,2345,3700,,20741,1757,1892,8843,2098,,
2021/8/24,1453,2406,3859,,4891,183,82,8843,2098,,
2021/8/25,1343,2414,3757,4906,4112,75,12,8843,2098,,
2021/8/26,1318,2288,3606,,4127,78,13,8843,2098,,
2021/8/27,876,1548,2424,,2598,68,14,310,122,,
2021/8/28,320,538,858,,2598,68,14,310,122,,
2021/8/29,838,1440,2278,,2761,47,3,310,122,,
2021/8/30,1337,2314,3651,,2761,47,3,310,122,,
2021/8/31,1319,2265,3584,,10665,358,82,310,122,,
2021/9/1,1273,2203,3476,,10665,358,82,52,43,,
2021/9/2,1271,2258,3529,,7647,252,68,200,274,,
2021/9/3,919,1526,2445,,7647,252,68,200,274,,
2021/9/4,375,653,1028,,7647,252,68,200,274,,
2021/9/5,969,1331,2300,,7647,252,68,200,274,,
2021/9/6,1289,2332,3621,,6445,246,58,200,274,,
2021/9/7,1234,2126,3360,,6445,246,58,200,274,,
2021/9/8,1249,2034,3283,,4203,69,3,200,274,,
2021/9/9,1250,2125,3375,,4203,69,3,200,274,,
2021/9/10,1015,1748,2763,,3834,136,34,83,20,,
2021/9/11,428,617,1045,,3834,136,34,83,20,,
2021/9/12,904,1597,2501,,2246,26,1,83,20,,
2021/9/13,1317,2320,3637,,2246,26,1,83,20,,
2021/9/14,1285,2118,3403,,2246,26,1,83,20,,
2021/9/15,1302,2198,3500,,2246,26,1,83,20,,
2021/9/16,1289,2138,3427,,2246,26,1,83,20,,
,,,,,12515.3213,352.3485915,143.465669,,,,
